Zipcode,relative_score
96,0.8589205896084888
97,0.8337277630712283
85,0.8108717859414777
108,0.7888028644890014
91,0.764767427808822
86,0.76435496438907
99,0.7454691420024735
89,0.7349799801182395
88,0.7321769513270118
113,0.7249676868879456
92,0.7185926313522853
100,0.7088479024808255
83,0.6913381900778852
90,0.6906462415925976
111,0.6862906489248961
84,0.6756146088062881
94,0.6710101042875586
101,0.664131363952663
105,0.6550987191512775
104,0.6489891534152286
98,0.6328678495904255
82,0.6229467097987319
110,0.6170646459388955
87,0.6019397935876047
95,0.5962548121322294
112,0.5771873906225184
80,0.5752199697290026
103,0.5743855185184685
109,0.5691434097424743
79,0.5324036998561138
93,0.5281160667056202
107,0.5149432392285429
106,0.48948319424163356
102,0.4672785801170939
81,0.4583065716969351
78,0.45397788343954965
114,
